"Police Department","State","Concatenated","ORI","2020 Population of Jurisdiciton"
"S PRK/REC COMM DOSEWALLIPS PK RG I BRINNON","WA","S PRK/REC COMM DOSEWALLIPS PK RG I BRINNONWA","WA0160200",0
"S PK/REC COMM CHIEF TIMOTHY PK RG IV CLARKSTON","WA","S PK/REC COMM CHIEF TIMOTHY PK RG IV CLARKSTONWA","WA0020300",0
"FIRE MARSHAL OFFICE SPOKANE VALLEY FIRE DEPARTMENT","WA","FIRE MARSHAL OFFICE SPOKANE VALLEY FIRE DEPARTMENTWA","WA0321400",0
"S PK/REC COMM CAMP WOOTEN PK REG IV POMEROY","WA","S PK/REC COMM CAMP WOOTEN PK REG IV POMEROYWA","WA0070300",0
"S PRK/REC COMM BATTLEGROUND LK PK BATTLEGROUND","WA","S PRK/REC COMM BATTLEGROUND LK PK BATTLEGROUNDWA","WA0060800",0
"S PRK/REC COMM WENBERG PRK RE II STANWOOD","WA","S PRK/REC COMM WENBERG PRK RE II STANWOODWA","WA0312200",0
"S PRK/REC COMM CAMANO ISL PK RG II STANWOOD","WA","S PRK/REC COMM CAMANO ISL PK RG II STANWOODWA","WA0150400",0
"S PRK/REC COMM SEAQUEST PK RG I CASTLEROCK","WA","S PRK/REC COMM SEAQUEST PK RG I CASTLEROCKWA","WA0080600",0
"EASTERN ST HOSPITAL MEDICAL LAKE","WA","EASTERN ST HOSPITAL MEDICAL LAKEWA","WA0320500",0
"S PRK/REC COMM LAKE SYLVIA PK RG I MONTESANO","WA","S PRK/REC COMM LAKE SYLVIA PK RG I MONTESANOWA","WA0141100",0
"SPOKANE FIRE DEPARTMENT FIRE ARSON UNTI","WA","SPOKANE FIRE DEPARTMENT FIRE ARSON UNTIWA","WA0322000",0
"SPOKANE PUBLIC SCHOOLS SECURITY","WA","SPOKANE PUBLIC SCHOOLS SECURITYWA","-1",0
"WA STATE GAMBLING COMM ENFORCEMENT UNIT","WA","WA STATE GAMBLING COMM ENFORCEMENT UNITWA","WA0321700",0
"S PK/REC COMM BLAKE ISLAND PK REG V MANCHESTER","WA","S PK/REC COMM BLAKE ISLAND PK REG V MANCHESTERWA","WA0181000",0
"S PRK/REC COMM DASH POINT PK RG V TACOMA","WA","S PRK/REC COMM DASH POINT PK RG V TACOMAWA","WA0272200",0
"S PRK/REC COMM CURLEW LK PK REG III REPUBLIC","WA","S PRK/REC COMM CURLEW LK PK REG III REPUBLICWA","WA0100200",0
"GREEN HILL TRAINING SCHOOL","WA","GREEN HILL TRAINING SCHOOLWA","WA0210500",0
"UNIFIED NARCOTICS ENFORCEMENT TEAM","WA","UNIFIED NARCOTICS ENFORCEMENT TEAMWA","WA0211400",0
"NORTHERN ST HOSPITAL SEDRO WOOLLEY","WA","NORTHERN ST HOSPITAL SEDRO WOOLLEYWA","WA0290700",0
"S PRK/REC COMM BIRCH BAY PK RG II BLAINE","WA","S PRK/REC COMM BIRCH BAY PK RG II BLAINEWA","WA0370900",0
"LAKE SAMMAMISH STATE PARK PARK RANGER ENFORCE U","WA","LAKE SAMMAMISH STATE PARK PARK RANGER ENFORCE UWA","WA0175200",0
"BOARD OF PHARMACY INVESTIGATIVE UNIT OLYMPIA","WA","BOARD OF PHARMACY INVESTIGATIVE UNIT OLYMPIAWA","WA0341700",0
"DEPARTMENT OF LICENSING VEH SERV DIV OLYMPIA","WA","DEPARTMENT OF LICENSING VEH SERV DIV OLYMPIAWA","WADMV0000",0
"DEPARTMENT OF NAT RES FIRE CONTROL DIV INV UNIT LACEY","WA","DEPARTMENT OF NAT RES FIRE CONTROL DIV INV UNIT LACEYWA","WA0341600",0
"S PRK/REC COMM MILLERSYLVANIA PK RG I OLYMPIA","WA","S PRK/REC COMM MILLERSYLVANIA PK RG I OLYMPIAWA","WA0341300",0
"STATE DEPARTMENT OF FISHERIES OLYMPIA","WA","STATE DEPARTMENT OF FISHERIES OLYMPIAWA","WA0341400",0
"WA ST LIQUOR CONTROL BOARD ENF DIV OLYMPIA","WA","WA ST LIQUOR CONTROL BOARD ENF DIV OLYMPIAWA","WA0341100",0
"WASH DEPARTMENT OF WILDLIFE WILDLIFE ENF DIV OLYMPIA","WA","WASH DEPARTMENT OF WILDLIFE WILDLIFE ENF DIV OLYMPIAWA","WA0341500",0
"WASHINGON DEPARTMENT OF FISH & WILDLIFE, ENFORCEME","WA","WASHINGON DEPARTMENT OF FISH & WILDLIFE, ENFORCEMEWA","WA0349900",0
"WASHINGTON STATE PARKS AND RECREATION COMMISSION","WA","WASHINGTON STATE PARKS AND RECREATION COMMISSIONWA","WA0342000",0
"COWLITZ-WAHKIAKUM NARCOTICS","WA","COWLITZ-WAHKIAKUM NARCOTICSWA","WA0080700",0
"S PRK/REC COMM BELFAIR PK REG V BELFAIR","WA","S PRK/REC COMM BELFAIR PK REG V BELFAIRWA","WA0230900",0
"WASH CORR CTR SHELTON","WA","WASH CORR CTR SHELTONWA","WA0230600",0
"S PK/REC COMM STEAMBOAT ROCK PK ELECTRIC CITY","WA","S PK/REC COMM STEAMBOAT ROCK PK ELECTRIC CITYWA","WA0131400",0
"INTERAGENCY NARCOTICS ENFORCEMENT TEAM","WA","INTERAGENCY NARCOTICS ENFORCEMENT TEAMWA","WA0131500",0
"STATE REFORMITORY MONROE","WA","STATE REFORMITORY MONROEWA","WA0311700",0
"WEST SOUND NARCOTICS ENFORCEMENT TEAM","WA","WEST SOUND NARCOTICS ENFORCEMENT TEAMWA","WA0181100",0
"WESTERN ST HOSPITAL STEILACOOM","WA","WESTERN ST HOSPITAL STEILACOOMWA","WA0271200",0
"ST PEN WALLA WALLA","WA","ST PEN WALLA WALLAWA","WA0360400",0
"FIRE DEPARTMENT ARSON INVESTIGATION UNIT SEATTLE","WA","FIRE DEPARTMENT ARSON INVESTIGATION UNIT SEATTLEWA","WA0173900",0
"SEATTLE FIRE DEPARTMENT FIRE INVESTIGATION UNIT","WA","SEATTLE FIRE DEPARTMENT FIRE INVESTIGATION UNITWA","WA0175300",0
"S PRK/REC COMM LAKE CHELAN PK RG III CHELAN","WA","S PRK/REC COMM LAKE CHELAN PK RG III CHELANWA","WA0040600",0
"S PRK/REC COMM BOGACHIEL PARK REG I FORKS","WA","S PRK/REC COMM BOGACHIEL PARK REG I FORKSWA","WA0050800",0
"TAHOMA NARCOTICS ENFORCEMENT TEAM","WA","TAHOMA NARCOTICS ENFORCEMENT TEAMWA","WA0272600",0
"S PRK/REC COMM BAYVIEW PK RG II MOUNT VERNON","WA","S PRK/REC COMM BAYVIEW PK RG II MOUNT VERNONWA","WA0290900",0
"WASHINGTON COUNTY RAILROAD POLICE DEPARTMENT","WA","WASHINGTON COUNTY RAILROAD POLICE DEPARTMENTWA","WA0391600",0
"S PK/REC COMM DASH POINT PK REG V FEDERAL WAY","WA","S PK/REC COMM DASH POINT PK REG V FEDERAL WAYWA","WA0173300",0
"VALLEY NARCOTICS ENFORCEMENT TEAM","WA","VALLEY NARCOTICS ENFORCEMENT TEAMWA","WA0174600",0
"S PRK/REC COMM ALTA LAKE PK RG III PATEROS","WA","S PRK/REC COMM ALTA LAKE PK RG III PATEROSWA","WA0241500",0
"S PRK/REC COMM SACAJAWEA PK RG IV PASCO","WA","S PRK/REC COMM SACAJAWEA PK RG IV PASCOWA","WA0110500",0
"SPOKANE AIRPORT POLICE DEPARTMENT","WA","SPOKANE AIRPORT POLICE DEPARTMENTWA","WA0321200",0
"S PK/REC COMM CROW BUTTE PK RG IV PATTERSON","WA","S PK/REC COMM CROW BUTTE PK RG IV PATTERSONWA","WA0030600",0
"PORT OF PASCO POLICE DEPARTMENT","WA","PORT OF PASCO POLICE DEPARTMENTWA","WA0110600",0
"S PRK/REC COMM IKE KINSWA PK RG I SILVER CREEK","WA","S PRK/REC COMM IKE KINSWA PK RG I SILVER CREEKWA","WA0211300",0
"S PRK/REC COMM MORAN PARK REG II EASTSOUND","WA","S PRK/REC COMM MORAN PARK REG II EASTSOUNDWA","WA0280200",0
"S PRK/REC COMM BEACON ROCK PARK REG I SKAMANIA","WA","S PRK/REC COMM BEACON ROCK PARK REG I SKAMANIAWA","WA0300300",0
"DANE COUNTY TRAFFIC POLICE DEPARTMENT MADISON","WI","DANE COUNTY TRAFFIC POLICE DEPARTMENT MADISONWI","WI0136600",0
"BROWN COUNTY TRAFFIC POLICE GREEN BAY","WI","BROWN COUNTY TRAFFIC POLICE GREEN BAYWI","WI0056600",0
"OUTAGAMIE COUNTY TRAFFIC POLICE DEPARTMENT APPLETON","WI","OUTAGAMIE COUNTY TRAFFIC POLICE DEPARTMENT APPLETONWI","WI0456600",0
"FOND DU LAC COUNTY TRAFFIC POLICE FOND DU LAC","WI","FOND DU LAC COUNTY TRAFFIC POLICE FOND DU LACWI","WI0206600",0
"MANITOWOC COUNTY TRAFFIC POLICE MANITOWOC","WI","MANITOWOC COUNTY TRAFFIC POLICE MANITOWOCWI","WI0360900",0
"MANITOWOC COUNTY TRAFFIC POLICE MANITOWOC","WI","MANITOWOC COUNTY TRAFFIC POLICE MANITOWOCWI","WI0366600",0
"WAUPACA COUNTY TRAFFIC POLICE DEPARTMENT WAUPACA","WI","WAUPACA COUNTY TRAFFIC POLICE DEPARTMENT WAUPACAWI","WI0696600",0
"MONROE COUNTY TRAFFIC POLICE DEPARTMENT SPARTA","WI","MONROE COUNTY TRAFFIC POLICE DEPARTMENT SPARTAWI","WI0426600",0
"CLARK COUNTY TRAFFIC POLICE DEPARTMENT NEILLSVILLE","WI","CLARK COUNTY TRAFFIC POLICE DEPARTMENT NEILLSVILLEWI","WI0106600",0
"GREEN LAKE CONTY TRAFFIC POLICE DEPARTMENT GREEN LAKE","WI","GREEN LAKE CONTY TRAFFIC POLICE DEPARTMENT GREEN LAKEWI","WI0246600",0
"DOOR COUNTY TRAFFIC POLICE DEPARTMENT STURGEON BAY","WI","DOOR COUNTY TRAFFIC POLICE DEPARTMENT STURGEON BAYWI","WI0156600",0
"CHIPPEWA MORAINE ICE AGE CENTER NEW AUBURN","WI","CHIPPEWA MORAINE ICE AGE CENTER NEW AUBURNWI","WI0091000",0
"BEARSKIN STATE TRAIL BOULDER JUNCTION","WI","BEARSKIN STATE TRAIL BOULDER JUNCTIONWI","WI0640800",0
"DEPARTMENT NAT RES GOV DODGE PARK POLICE DODGEVILLE","WI","DEPARTMENT NAT RES GOV DODGE PARK POLICE DODGEVILLEWI","WI0258000",0
"WI DNR LOWER WI STATE RIVERWAY POLICE","WI","WI DNR LOWER WI STATE RIVERWAY POLICEWI","WI0251100",0
"DEPARTMENT NAT RES INTERSTATE PARK POL ST CROIX FALLS","WI","DEPARTMENT NAT RES INTERSTATE PARK POL ST CROIX FALLSWI","WI0498000",0
"DEPARTMENT NAT RES HIGH CLIFF PARK POLICE MENASHA","WI","DEPARTMENT NAT RES HIGH CLIFF PARK POLICE MENASHAWI","WI0088000",0
"MERRICK STATE PARK FOUNTAIN CITY","WI","MERRICK STATE PARK FOUNTAIN CITYWI","WI0060600",0
"COUNCIL GROUNDS STATE PARK MERRILL","WI","COUNCIL GROUNDS STATE PARK MERRILLWI","WI0350300",0
"WYALUSING STATE PARK BAGLEY","WI","WYALUSING STATE PARK BAGLEYWI","WI0221000",0
"GOV TOMMY G THOMPSON STATE PARK WARDENS","WI","GOV TOMMY G THOMPSON STATE PARK WARDENSWI","WI0381000",0
"PESHTIGO RIVER STATE FOREST POLICE","WI","PESHTIGO RIVER STATE FOREST POLICEWI","WI0381100",0
"NELSON DEWEY STATE PARK CASSVILLE","WI","NELSON DEWEY STATE PARK CASSVILLEWI","WI0221500",0
"BLUE MOUND STATE PARK","WI","BLUE MOUND STATE PARKWI","WI0130700",0
"MILITARY RIDGE STATE TRAIL WARDENS","WI","MILITARY RIDGE STATE TRAIL WARDENSWI","WI0250400",0
"PECATONICA ST TRAIL POLICE DEPARTMENT BLANCHARDVILLE","WI","PECATONICA ST TRAIL POLICE DEPARTMENT BLANCHARDVILLEWI","WI0331000",0
"YELLOWSTONE LAKE STATE PARK BLANCHARDVILLE","WI","YELLOWSTONE LAKE STATE PARK BLANCHARDVILLEWI","WI0330900",0
"GLACIAL DRUMLIN STATE TRAIL DELAFIELD","WI","GLACIAL DRUMLIN STATE TRAIL DELAFIELDWI","WI0682100",0
"PERROT STATE PARK TREMPEALEAU","WI","PERROT STATE PARK TREMPEALEAUWI","WI0621200",0
"BADGER STATE TRAIL","WI","BADGER STATE TRAILWI","WI0231000",0
"BROWNTOWN-CADIZ SPRINGS RECREATION AREA","WI","BROWNTOWN-CADIZ SPRINGS RECREATION AREAWI","WI0230900",0
"NEW GLARUS STATE PARK NEW GLARUS","WI","NEW GLARUS STATE PARK NEW GLARUSWI","WI0230700",0
"SUGAR RIVER STATE TRAIL MONROE","WI","SUGAR RIVER STATE TRAIL MONROEWI","WI0230800",0
"BRULE RIVER STATE FOREST","WI","BRULE RIVER STATE FORESTWI","WI0040500",0
"DEPARTMENT NAT RES N KETTLE MORAINE PK POL PLYMOUTH","WI","DEPARTMENT NAT RES N KETTLE MORAINE PK POL PLYMOUTHWI","WI0608000",0
"PADDOCK LAKE WATER PATROL","WI","PADDOCK LAKE WATER PATROLWI","WI0300900",0
"KICKAPOO VALLEY RESERVE POLICE DEPARTMENT","WI","KICKAPOO VALLEY RESERVE POLICE DEPARTMENTWI","WI0631500",0
"DNR BLACK RIVER SATE FOREST LAW ENFORCEMENT","WI","DNR BLACK RIVER SATE FOREST LAW ENFORCEMENTWI","WI0270700",0
"HARTMAN CREEK STATE PARK WAUPACA","WI","HARTMAN CREEK STATE PARK WAUPACAWI","WI0691100",0
"BUCKHORN STATE PARK NECEDAH","WI","BUCKHORN STATE PARK NECEDAHWI","WI0290800",0
"TURTLE FLAMBEAU FLOWAGE DNR RANGER ST MERCER","WI","TURTLE FLAMBEAU FLOWAGE DNR RANGER ST MERCERWI","WI0260400",0
"BU LAW ENF N KETT MORAINE ST PK COMPBELLSPORT","WI","BU LAW ENF N KETT MORAINE ST PK COMPBELLSPORTWI","WI0208000",0
"NO HIGHLAND AMER LEGION PARK POLICE WOODRUFF","WI","NO HIGHLAND AMER LEGION PARK POLICE WOODRUFFWI","WI0648000",0
"NEWPORT STATE PARK ELLISON BAY","WI","NEWPORT STATE PARK ELLISON BAYWI","WI0150400",0
"WILLOW RIVER STATE PARK HUDSON","WI","WILLOW RIVER STATE PARK HUDSONWI","WI0561000",0
"KINNICKINNIC STATE PARK RIVER FALLS","WI","KINNICKINNIC STATE PARK RIVER FALLSWI","WI0480900",0
"GOVERNOR NELSON STATE PARK WAUNAKEE","WI","GOVERNOR NELSON STATE PARK WAUNAKEEWI","WI0130900",0
"LAKE KEGONSA STATE PARK STOUGHTON","WI","LAKE KEGONSA STATE PARK STOUGHTONWI","WI0132600",0
"TOWER HILL STATE PARK SPRING GREEN","WI","TOWER HILL STATE PARK SPRING GREENWI","WI0251000",0
"BIG CEDAR LAKE PRD WATER SAFETY PATROL","WI","BIG CEDAR LAKE PRD WATER SAFETY PATROLWI","WI0671100",0
"HARRINGTON BEACH STATE PARK BELGIUM","WI","HARRINGTON BEACH STATE PARK BELGIUMWI","WI0460900",0
"LAKE WISSOTA STATE PARK POLICE DEPARTMENT CHIPPEWA","WI","LAKE WISSOTA STATE PARK POLICE DEPARTMENT CHIPPEWAWI","WI0091200",0
"POINT BEACH STATE FOREST TWO RIVERS","WI","POINT BEACH STATE FOREST TWO RIVERSWI","WI0360300",0
"COPPER FALLS STATE PARK MELLEN","WI","COPPER FALLS STATE PARK MELLENWI","WI0020500",0
"DEPARTMENT NAT RES S KETTLE MORAINE PK POLICE EAGLE","WI","DEPARTMENT NAT RES S KETTLE MORAINE PK POLICE EAGLEWI","WI0688000",0
"BRUNET ISLAND STATE PARK RANGERS CORNELL","WI","BRUNET ISLAND STATE PARK RANGERS CORNELLWI","WI0091100",0
"PATTISON STATE PARK SUPERIOR","WI","PATTISON STATE PARK SUPERIORWI","WI0160600",0
"KETTLE MORAINE STATE FOREST LE","WI","KETTLE MORAINE STATE FOREST LEWI","WI0670900",0
"GOVERNOR KNOWLES STATE FOREST GRANTSBURG","WI","GOVERNOR KNOWLES STATE FOREST GRANTSBURGWI","WI0070500",0
"WHITEFISH DUNES STATE PARK STURGEON BAY","WI","WHITEFISH DUNES STATE PARK STURGEON BAYWI","WI0150600",0
"DEVILS LAKE STATE PARK BARABOO","WI","DEVILS LAKE STATE PARK BARABOOWI","WI0571200",0
"MIRROR LAKE STATE PARK BARABOO","WI","MIRROR LAKE STATE PARK BARABOOWI","WI0571300",0
"ROCKY ARBOR STATE PARK POLICE DEPARTMENT BARABOO","WI","ROCKY ARBOR STATE PARK POLICE DEPARTMENT BARABOOWI","WI0571400",0
"CHIPPEWA RIVER STATE TRAIL EAU CLAIRE","WI","CHIPPEWA RIVER STATE TRAIL EAU CLAIREWI","WI0180700",0
"HOFFMAN HILLS ST REC AREA CONSERVATION WARDENS","WI","HOFFMAN HILLS ST REC AREA CONSERVATION WARDENSWI","WI0170800",0
"FLAMBEAU RIVER STATE FOREST WINTER","WI","FLAMBEAU RIVER STATE FOREST WINTERWI","WI0580300",0
"TUSCOBIA STATE TRAIL WARDEN","WI","TUSCOBIA STATE TRAIL WARDENWI","WI0580700",0
"GLACIAL DRUMLIN STATE TRAIL LAKE MILLS","WI","GLACIAL DRUMLIN STATE TRAIL LAKE MILLSWI","WI0281100",0
"ROCHE-A-CRI STATE PARK FRIENDSHIP","WI","ROCHE-A-CRI STATE PARK FRIENDSHIPWI","WI0010400",0
"BIG FOOT BEACH STATE PARK LAKE GENEVA","WI","BIG FOOT BEACH STATE PARK LAKE GENEVAWI","WI0651400",0
"RIB MT STATE PARK WARDENS","WI","RIB MT STATE PARK WARDENSWI","WI0371200",0
"CHIPPEWA FLOWAGE DNR RANGER STATION HAYWARD","WI","CHIPPEWA FLOWAGE DNR RANGER STATION HAYWARDWI","WI0580400",0
"ELROY-SPARTA STATE TRAILS ONTARIO","WI","ELROY-SPARTA STATE TRAILS ONTARIOWI","WI0631300",0
"LA CROSSE RIVER STATE TRAIL ONTARIO","WI","LA CROSSE RIVER STATE TRAIL ONTARIOWI","WI0631400",0
"MILL BLUFF STATE PARK ONTARIO","WI","MILL BLUFF STATE PARK ONTARIOWI","WI0631200",0
"WILDCAT MOUNTAIN STATE PARK ONTARIO","WI","WILDCAT MOUNTAIN STATE PARK ONTARIOWI","WI0631100",0
"BIG BAY STATE PARK BAYFIELD","WI","BIG BAY STATE PARK BAYFIELDWI","WI0020600",0
"DIVISION OF MOTOR VEHICLES","WI","DIVISION OF MOTOR VEHICLESWI","WI0137900",0
"STATE DEPARTMENT OF REV ALCOHOL & TOBACCO ENF MADISON","WI","STATE DEPARTMENT OF REV ALCOHOL & TOBACCO ENF MADISONWI","WI0138000",0
"WI DEPARTMENT NATURAL RESOURCES WARDENS","WI","WI DEPARTMENT NATURAL RESOURCES WARDENSWI","WI0138200",0
"WI DOJ DIV OF CRIM INVEST MADISON","WI","WI DOJ DIV OF CRIM INVEST MADISONWI","WIDCI0000",0
"WISCONSIN DEPARTMENT OF JUSTICE - CRIMINAL INVESTI","WI","WISCONSIN DEPARTMENT OF JUSTICE - CRIMINAL INVESTIWI","WI0138100",0
"WISCONSIN DEPARTMENT OF NATURAL RESOURCES - PARKS","WI","WISCONSIN DEPARTMENT OF NATURAL RESOURCES - PARKSWI","-1",0
"WISCONSIN DEPARTMENT OF REVENUE - ALCOHOL & TOBACC","WI","WISCONSIN DEPARTMENT OF REVENUE - ALCOHOL & TOBACCWI","-1",0
"WISCONSIN DEPARTMENT OF TRANSPORTATION SAFETY & OF","WI","WISCONSIN DEPARTMENT OF TRANSPORTATION SAFETY & OFWI","-1",0
"KOHLER-ANDRAE STATE PARK SEBOYGAN","WI","KOHLER-ANDRAE STATE PARK SEBOYGANWI","WI0600500",0
"HAVENWOODS FOREST PRESERVE MILWAUKEE","WI","HAVENWOODS FOREST PRESERVE MILWAUKEEWI","WI0412100",0
"MILWAUKE LAKESHORE STATE PARK LAW ENFORCEMENT","WI","MILWAUKE LAKESHORE STATE PARK LAW ENFORCEMENTWI","WI0412300",0
"MILWAUKEE HIDTA INTELL & TECH SUPPORT CTR","WI","MILWAUKEE HIDTA INTELL & TECH SUPPORT CTRWI","WI0412200",0
"MENOMINEE TRIBAL CONSERVATION DEPARTMENT","WI","MENOMINEE TRIBAL CONSERVATION DEPARTMENTWI","WIDI01400",0
"ONEIDA DEPARTMENT. OF CONSERVATION TRIBAL POLICE DEPARTMENT","WI","ONEIDA DEPARTMENT. OF CONSERVATION TRIBAL POLICE DEPARTMENTWI","-1",0
"BONG STATE REC AREA WARDENS","WI","BONG STATE REC AREA WARDENSWI","WI0301000",0
"SALEM TOWNSHIP WATER PATROL","WI","SALEM TOWNSHIP WATER PATROLWI","-1",0
"LA CROSSE CONTY TRAFFIC POLICE DEPARTMENT LA CROSSE","WI","LA CROSSE CONTY TRAFFIC POLICE DEPARTMENT LA CROSSEWI","WI0326600",0
"LA CROSSE MUNICIPAL AIRPORT POLICE","WI","LA CROSSE MUNICIPAL AIRPORT POLICEWI","WI0320900",0
"TROY TOWNSHIP WATER PATROL","WI","TROY TOWNSHIP WATER PATROLWI","WI0652700",0
"DODGE COUNTY TRAFFIC POLICE JUNEAU","WI","DODGE COUNTY TRAFFIC POLICE JUNEAUWI","WI0146600",0
"CHIPPEWA COUNTY TRAFFIC POLICE DEPARTMENT CHIPPEWA FALLS","WI","CHIPPEWA COUNTY TRAFFIC POLICE DEPARTMENT CHIPPEWA FALLSWI","WI0096600",0
"CALUMET COUNTY TRAFFIC POLICE CHILTON","WI","CALUMET COUNTY TRAFFIC POLICE CHILTONWI","WI0086600",0
"DUNN COUNTY TRAFFIC POLICE DEPARTMENT MENOMONIE","WI","DUNN COUNTY TRAFFIC POLICE DEPARTMENT MENOMONIEWI","WI0176600",0
"AMNICON FALLS STATE PARK SUPERIOR","WI","AMNICON FALLS STATE PARK SUPERIORWI","WI0160700",0
"STEPHENSON TOWNSHIP WATER PATROL","WI","STEPHENSON TOWNSHIP WATER PATROLWI","WI0381200",0
"OCONTO CONTY TRAFFIC POLICE DEPARTMENT OCONTO","WI","OCONTO CONTY TRAFFIC POLICE DEPARTMENT OCONTOWI","WI0436600",0
"DEPARTMENT NAT RES PENINSULA PARK POLICE FISH CREEK","WI","DEPARTMENT NAT RES PENINSULA PARK POLICE FISH CREEKWI","WI0158000",0
"ROCK ISLAND STATE PARK WASHINGTON ISLAND","WI","ROCK ISLAND STATE PARK WASHINGTON ISLANDWI","WI0150300",0
"LAC DU FLAMBEAU TRIBAL DEPARTMENT OF CONSERVATION TRIBAL","WI","LAC DU FLAMBEAU TRIBAL DEPARTMENT OF CONSERVATION TRIBALWI","-1",0
"KEWAUNEE CNTY TRAFFIC POLICE DEPARTMENT","WI","KEWAUNEE CNTY TRAFFIC POLICE DEPARTMENTWI","WI0316600",0
"GREAT LAKES INDIAN TRIBAL FISH AND WILDLIFE COMMIS","WI","GREAT LAKES INDIAN TRIBAL FISH AND WILDLIFE COMMISWI","-1",0
"BUFFALO COUNTY TRAFFIC POLICE DEPARTMENT ALMA","WI","BUFFALO COUNTY TRAFFIC POLICE DEPARTMENT ALMAWI","WI0066600",0
"DNR DIST VI SPEC CONS OFCRS KANAWHA FALLS WMA","WV","DNR DIST VI SPEC CONS OFCRS KANAWHA FALLS WMAWV","WV0203700",0
"CATHEDRAL STATE PARK","WV","CATHEDRAL STATE PARKWV","WV0391000",0
"LAW ENF DIV DEP NATRL RESRCS WELLSBURG","WV","LAW ENF DIV DEP NATRL RESRCS WELLSBURGWV","WV0050600",0
"DNR DIST VI SPEC CONS OFCRS LEWIS WETZEL WMA","WV","DNR DIST VI SPEC CONS OFCRS LEWIS WETZEL WMAWV","WV0520900",0
"DNR DIST VI SPEC CONS OFCRS LITTL RIVER WMA","WV","DNR DIST VI SPEC CONS OFCRS LITTL RIVER WMAWV","WV0381100",0
"CASS SCENIC RR STATE PARK","WV","CASS SCENIC RR STATE PARKWV","WV0380400",0
"DNR DIST VI SPEC CONS OFCR BEAR ROCKS LAKE WMA","WV","DNR DIST VI SPEC CONS OFCR BEAR ROCKS LAKE WMAWV","WV0351100",0
"NORTH BEND STATE PARK","WV","NORTH BEND STATE PARKWV","WV0430600",0
"KUMBRABOW STATE FOREST","WV","KUMBRABOW STATE FORESTWV","WV0420500",0
"HAWKS NEST STATE PARK","WV","HAWKS NEST STATE PARKWV","WV0101300",0
"DROOP MOUNTAIN STATE PARK","WV","DROOP MOUNTAIN STATE PARKWV","WV0380500",0
"WV DIVISION FORESTRY ARSON INVEST UNIT","WV","WV DIVISION FORESTRY ARSON INVEST UNITWV","WV0061100",0
"POINT PLEASANT STATE PARK","WV","POINT PLEASANT STATE PARKWV","WV0271000",0
"DNR DIST VI SPEC CONS OFCRS BIG UGLY WMA","WV","DNR DIST VI SPEC CONS OFCRS BIG UGLY WMAWV","WV0220700",0
"DNR DIST VI SPEC CONS OFCRS RIMEL WMA","WV","DNR DIST VI SPEC CONS OFCRS RIMEL WMAWV","WV0381000",0
"WATOGA STATE PARK","WV","WATOGA STATE PARKWV","WV0380600",0
"LAW ENF DIV DEPARTMENT NATRL RESRCS ST MARYS","WV","LAW ENF DIV DEPARTMENT NATRL RESRCS ST MARYSWV","WV0370400",0
"COOPERS ROCK STATE FOREST","WV","COOPERS ROCK STATE FORESTWV","WV0311200",0
"WV ARMY NATL GUARD CAMP DAWSON SECURITY POLICE","WV","WV ARMY NATL GUARD CAMP DAWSON SECURITY POLICEWV","WV0391200",0
"BLACKWATER FALLS STATE PARK","WV","BLACKWATER FALLS STATE PARKWV","WV0470700",0
"CANAAN VALLEY RESORT STATE PARK","WV","CANAAN VALLEY RESORT STATE PARKWV","WV0470800",0
"DNR DIST VI SPEC CONS OFCRS FORK CREEK WMA","WV","DNR DIST VI SPEC CONS OFCRS FORK CREEK WMAWV","WV0030800",0
"PINNACLE ROCK STATE PARK","WV","PINNACLE ROCK STATE PARKWV","WV0281100",0
"CARNIFEX FERRY STATE PARK","WV","CARNIFEX FERRY STATE PARKWV","WV0340600",0
"WV DIVISION FORESTRY ARSON INVEST UNIT","WV","WV DIVISION FORESTRY ARSON INVEST UNITWV","WV0340900",0
"LAW ENF DIV DEPARTMENT NATRL RESRCS POINT PLEASANT","WV","LAW ENF DIV DEPARTMENT NATRL RESRCS POINT PLEASANTWV","WV0270900",0
"BLENNERHASSETT STATE PARK","WV","BLENNERHASSETT STATE PARKWV","WV0540700",0
"DNR DIST VI SPEC CONS OFC LEACHTOWN PUB ACC WMA","WV","DNR DIST VI SPEC CONS OFC LEACHTOWN PUB ACC WMAWV","WV0541000",0
"DNR DIST VI SPEC CONS OFC LOCK 19 PUB ACC WMA","WV","DNR DIST VI SPEC CONS OFC LOCK 19 PUB ACC WMAWV","WV0541100",0
"DNR DIST VI SPEC CONS OFCR HUGHES RIVER WMA","WV","DNR DIST VI SPEC CONS OFCR HUGHES RIVER WMAWV","WV0530600",0
"DNR DIST VI SPEC CONS OFCR PALESTINE FISH HATC","WV","DNR DIST VI SPEC CONS OFCR PALESTINE FISH HATCWV","WV0530400",0
"DNR DIST VI SPEC CONS OFCR SAND HILL WMA WOOD","WV","DNR DIST VI SPEC CONS OFCR SAND HILL WMA WOODWV","WV0540900",0
"DNR DIST VI SPEC CONS OFCR WELLS LOCKS WMA WIRT","WV","DNR DIST VI SPEC CONS OFCR WELLS LOCKS WMA WIRTWV","WV0530500",0
"LAW ENF DIV DEPARTMENT NATRL RESRCS PARKERSBURG","WV","LAW ENF DIV DEPARTMENT NATRL RESRCS PARKERSBURGWV","WV0540600",0
